tweet;gender
"@susanadiaz En esto os entreteneis  en la Junta?En la bandera Y en otras payasadas que ya sabemos bien los andaluces y ""andaluzas"" 😂 y la Sanidad y la educación y los parados que teneis eso no lo mirais?";-1
@susanadiaz Porque no te haces fotos en colegios sin calefacción y con los niños con abrigos y con calefactores llevados por los padres. ¡poca vergüza!!;-1
@susanadiaz Espero que la calefacción de su despacho y la de su casa y la de los despachos  y de las casas del resto de su banda, perdón consejeros, funcionen, las de muchísimos colegios Andaluces NO. Pero eso no es importante.;-1
@susanadiaz nombra un consejo consultivo exclusivamente con personas vinculadas al PSOE cuando lo habitual es que haya pluralismo y consenso. Tiene sólo un 35% de los votos pero cree ser reina absolutista de Andalucía.  https://t.co/czN6Amoqsw;-1
"@susanadiaz Los Andaluces son los que màs emigra, esos quiere decir que aqui no hay trabajo ""solución ya""";-1
@susanadiaz DEP;-1
@susanadiaz;-1
@susanadiaz 11años y 135 días trabajando #monitorasenlucha #monitoresenlucha trabajamos para tu @EducaAnd #EnDiscontinuidad   #EnPrecariedad;-1
@susanadiaz Igualdad,  que bueno ja ja.;-1
@susanadiaz https://t.co/MKj2KoxDLt;-1
@susanadiaz  https://t.co/bNWBk6fwOo;-1
@susanadiaz @ppandaluz Mi más sentido pésame a su familia.D.E.P;-1
@susanadiaz @psoedeandalucia Igualdad Susana,? Con quien? Para quien?. Tu has visto el funcionamiento de nuestra sanidad. Tu has visto como funciona la educación. Tu has visto como funciona tu Autonomía. Sal a la calle y pasea. Y Entérate de los problemas de nuestra sociedad;-1
@susanadiaz @ppandaluz DEP nuestro compañero y mis condolencias a sus familiares.;-1
@susanadiaz Déjate de tonterías y trabaja para hacer una gestión eficaz de los presupuestos y de los recursos. Llevamos demasiados años de retraso por políticas inútiles de la mano del PSOE-A.#felizmartes;-1
@susanadiaz Igualdad,?menuda poca vergüenza tienes..;-1
@susanadiaz Os habéis reído de aquella ilusión de los andaluces, todas las espectativas se quedaron en nada, la lucha de #Andalucía no mereció la pena, la historia os juzgará. #4D #28F;-1
@susanadiaz a ver Susana no te enteras ni quieres enterarte de que tu amiga Pilar Espejo es como tú una mala persona. O la cesas o tú verás en las elecciones donde vas a ir posiblemente te vayas a la mierda cosa que nos encantaría a la mayoría de los Andaluces y esperemos que sea;-1
@susanadiaz Dep;-1
@susanadiaz Andalucia es ya papel mojado. Lo habeis ido trabajando décadas con ese talante proteccionista y cortijero. Andalucia sera libre soberana cuando vuestra generación de políticos corruptos os vayáis a casita. A ser posible le sin pensión vitalicia;-1
@susanadiaz @ppandaluz Hola Susana Díaz que tal estas bien como van las cosas bien. Un saludo;-1
@susanadiaz Podía usted Sra. Diaz interesarse por la falta de ATCE del geriátrico de Linares, no cubren bajas ni jubilaciones y no nos dan días que se nos deben por lo que el personal esta estresado, desmotivado etc. Seguiremos luchando con o sin usted. Buen día;-1
@susanadiaz Hija que no pasa nada porque se trabaje 37,5 hiras, no ves que los demas tenemos que trebajar 24 horas al dia para mantenerte a ti t a los funcionarios. Esp si es una injusticia;-1
@susanadiaz todos somos iguales, unos mas que otros.;-1
@susanadiaz si tuvieras un poquito de dignidad, deberías dimitir.;-1
@susanadiaz La que margino a gran favor de Sevilla. No gracias;-1
@susanadiaz nunca nos van a tomar en serio a los andaluces.Por qué no dejamos de dar tanta paga y empezamos a dar trabajo?;-1
@susanadiaz Mi ideal andaluz es volver a Andalucía, pero mientras que sigáis con el cortijo me van a dar mucho porculo. Igualdad??? Qué sabrás tú de igualdad...que te lo han dado todo hecho y no has competido en tu puta vida...;-1
